date,division,inflation_yoy,inflation_mom
2/1/2000,overall,,0.1
3/1/2000,overall,,-0.1
4/1/2000,overall,,0
5/1/2000,overall,,0.1
6/1/2000,overall,,0
7/1/2000,overall,,0.1
8/1/2000,overall,,0
9/1/2000,overall,,0
10/1/2000,overall,,0.4
11/1/2000,overall,,0.1
12/1/2000,overall,,0.5
1/1/2001,overall,1.5,0.2
2/1/2001,overall,1.6,0.2
3/1/2001,overall,1.5,-0.2
4/1/2001,overall,1.6,0.1
5/1/2001,overall,1.6,0.1
6/1/2001,overall,1.5,-0.1
7/1/2001,overall,1.4,0
8/1/2001,overall,1.2,-0.1
9/1/2001,overall,1.4,0.1
10/1/2001,overall,0.9,-0.1
11/1/2001,overall,1.6,0.9
12/1/2001,overall,1.1,0
1/1/2002,overall,1.1,0.2
2/1/2002,overall,1.1,0.2
3/1/2002,overall,2.1,0.7
4/1/2002,overall,1.8,-0.1
5/1/2002,overall,1.8,0.1
6/1/2002,overall,2.1,0.1
7/1/2002,overall,2.1,0
8/1/2002,overall,2.1,-0.1
9/1/2002,overall,2.1,0.1
10/1/2002,overall,2.1,-0.1
11/1/2002,overall,1.5,0.2
12/1/2002,overall,1.7,0.2
1/1/2003,overall,1.7,0.2
2/1/2003,overall,1.6,0.1
3/1/2003,overall,0.7,-0.1
4/1/2003,overall,1,0.1
5/1/2003,overall,1,0.1
6/1/2003,overall,0.7,-0.1
7/1/2003,overall,1,0.2
8/1/2003,overall,1,-0.1
9/1/2003,overall,1.1,0.2
10/1/2003,overall,1.2,0
11/1/2003,overall,1.1,0.1
12/1/2003,overall,1.2,0.4
1/1/2004,overall,1,0
2/1/2004,overall,0.8,0
3/1/2004,overall,1,0
4/1/2004,overall,1,0.1
5/1/2004,overall,1.2,0.4
6/1/2004,overall,1.3,0
7/1/2004,overall,1.3,0.2
8/1/2004,overall,1.4,0
9/1/2004,overall,1.5,0.4
10/1/2004,overall,2.1,0.6
11/1/2004,overall,2.3,0.2
12/1/2004,overall,2,0.1
1/1/2005,overall,2.4,0.3
2/1/2005,overall,2.5,0.1
3/1/2005,overall,2.5,0
4/1/2005,overall,2.5,0.1
5/1/2005,overall,2.9,0.8
6/1/2005,overall,3.2,0.2
7/1/2005,overall,2.9,0
8/1/2005,overall,3.6,0.7
9/1/2005,overall,3.5,0.2
10/1/2005,overall,3.1,0.2
11/1/2005,overall,3.2,0.3
12/1/2005,overall,3.2,0.1
1/1/2006,overall,3.2,0.3
2/1/2006,overall,3.2,0.1
3/1/2006,overall,4.7,1.5
4/1/2006,overall,4.6,0
5/1/2006,overall,4,0.2
6/1/2006,overall,3.9,0.1
7/1/2006,overall,4.1,0.2
8/1/2006,overall,3.3,-0.1
9/1/2006,overall,3.3,0.2
10/1/2006,overall,3,0
11/1/2006,overall,3,0.3
12/1/2006,overall,3,0.1
1/1/2007,overall,3.2,0.5
2/1/2007,overall,3.1,0
3/1/2007,overall,1.5,-0.1
4/1/2007,overall,1.5,0
5/1/2007,overall,1.4,0.1
6/1/2007,overall,1.5,0.2
7/1/2007,overall,1.6,0.3
8/1/2007,overall,2,0.2
9/1/2007,overall,1.9,0.1
10/1/2007,overall,2,0.1
11/1/2007,overall,2.3,0.6
12/1/2007,overall,2.4,0.2
1/1/2008,overall,2.3,0.4
2/1/2008,overall,2.6,0.3
3/1/2008,overall,2.7,0
4/1/2008,overall,3,0.3
5/1/2008,overall,3.8,0.8
6/1/2008,overall,7.7,4
7/1/2008,overall,8.5,1.1
8/1/2008,overall,8.5,0.2
9/1/2008,overall,8.2,-0.2
10/1/2008,overall,7.6,-0.4
11/1/2008,overall,5.7,-1.2
12/1/2008,overall,4.5,-0.9
1/1/2009,overall,3.9,-0.1
2/1/2009,overall,3.8,0.2
3/1/2009,overall,3.6,-0.2
4/1/2009,overall,3.1,-0.2
5/1/2009,overall,2.4,0.2
6/1/2009,overall,-1.4,0.1
7/1/2009,overall,-2.4,0.1
8/1/2009,overall,-2.5,0.1
9/1/2009,overall,-2,0.3
10/1/2009,overall,-1.5,0.1
11/1/2009,overall,-0.1,0.2
12/1/2009,overall,1,0.2
1/1/2010,overall,1.3,0.2
2/1/2010,overall,1.1,0
3/1/2010,overall,1.3,0
4/1/2010,overall,1.5,0
5/1/2010,overall,1.5,0.2
6/1/2010,overall,1.5,0.1
7/1/2010,overall,1.7,0.3
8/1/2010,overall,1.9,0.3
9/1/2010,overall,1.7,0.1
10/1/2010,overall,1.8,0.2
11/1/2010,overall,1.8,0.2
12/1/2010,overall,2,0.4
1/1/2011,overall,2.4,0.6
2/1/2011,overall,2.9,0.5
3/1/2011,overall,3,0.1
4/1/2011,overall,3.2,0.2
5/1/2011,overall,3.3,0.3
6/1/2011,overall,3.5,0.3
7/1/2011,overall,3.4,0.2
8/1/2011,overall,3.3,0.2
9/1/2011,overall,3.5,0.3
10/1/2011,overall,3.4,0.1
11/1/2011,overall,3.3,0.1
12/1/2011,overall,3,0.1
1/1/2012,overall,2.7,0.3
2/1/2012,overall,2.2,0
3/1/2012,overall,2.1,0
4/1/2012,overall,1.9,0
5/1/2012,overall,1.7,0.2
6/1/2012,overall,1.6,0.1
7/1/2012,overall,1.4,0
8/1/2012,overall,1.4,0.2
9/1/2012,overall,1.3,0.2
10/1/2012,overall,1.3,0.2
11/1/2012,overall,1.3,0.1
12/1/2012,overall,1.2,0
1/1/2013,overall,1.3,0.4
2/1/2013,overall,1.5,0.2
3/1/2013,overall,1.6,0.1
4/1/2013,overall,1.7,0.1
5/1/2013,overall,1.8,0.3
6/1/2013,overall,1.8,0.1
7/1/2013,overall,2,0.2
8/1/2013,overall,1.9,0.1
9/1/2013,overall,2.6,0.8
10/1/2013,overall,2.8,0.4
11/1/2013,overall,2.9,0.3
12/1/2013,overall,3.2,0.3
1/1/2014,overall,3.4,0.6
2/1/2014,overall,3.5,0.3
3/1/2014,overall,3.5,0.1
4/1/2014,overall,3.4,0
5/1/2014,overall,3.2,0.1
6/1/2014,overall,3.3,0.2
7/1/2014,overall,3.2,0.1
8/1/2014,overall,3.3,0.2
9/1/2014,overall,2.6,0.2
10/1/2014,overall,2.8,0.5
