state,date,division,index
Johor,1/1/2010,overall,99.4
Johor,2/1/2010,overall,99.4
Johor,3/1/2010,overall,99.4
Johor,4/1/2010,overall,99.4
Johor,5/1/2010,overall,99.6
Johor,6/1/2010,overall,99.8
Johor,7/1/2010,overall,100.1
Johor,8/1/2010,overall,100.3
Johor,9/1/2010,overall,100.3
Johor,10/1/2010,overall,100.5
Johor,11/1/2010,overall,100.8
Johor,12/1/2010,overall,101.1
Johor,1/1/2011,overall,101.7
Johor,2/1/2011,overall,102.4
Johor,3/1/2011,overall,102.3
Johor,4/1/2011,overall,102.5
Johor,5/1/2011,overall,102.8
Johor,6/1/2011,overall,103.3
Johor,7/1/2011,overall,103.6
Johor,8/1/2011,overall,103.7
Johor,9/1/2011,overall,103.9
Johor,10/1/2011,overall,104.2
Johor,11/1/2011,overall,104.2
Johor,12/1/2011,overall,104.4
Johor,1/1/2012,overall,105
Johor,2/1/2012,overall,104.7
Johor,3/1/2012,overall,104.5
Johor,4/1/2012,overall,104.5
Johor,5/1/2012,overall,104.9
Johor,6/1/2012,overall,105.1
Johor,7/1/2012,overall,105.1
Johor,8/1/2012,overall,105.4
Johor,9/1/2012,overall,105.6
Johor,10/1/2012,overall,105.6
Johor,11/1/2012,overall,105.8
Johor,12/1/2012,overall,105.9
Johor,1/1/2013,overall,106.5
Johor,2/1/2013,overall,106.7
Johor,3/1/2013,overall,106.7
Johor,4/1/2013,overall,106.6
Johor,5/1/2013,overall,106.9
Johor,6/1/2013,overall,107.1
Johor,7/1/2013,overall,107.4
Johor,8/1/2013,overall,107.6
Johor,9/1/2013,overall,108.7
Johor,10/1/2013,overall,109.3
Johor,11/1/2013,overall,109.5
Johor,12/1/2013,overall,110
Johor,1/1/2014,overall,110.5
Johor,2/1/2014,overall,110.7
Johor,3/1/2014,overall,110.8
Johor,4/1/2014,overall,110.9
Johor,5/1/2014,overall,111
Johor,6/1/2014,overall,111.2
Johor,7/1/2014,overall,111.4
Johor,8/1/2014,overall,111.8
Johor,9/1/2014,overall,112
Johor,10/1/2014,overall,112.7
Johor,11/1/2014,overall,113.4
Johor,12/1/2014,overall,113.3
Johor,1/1/2015,overall,112.2
Johor,2/1/2015,overall,111.1
Johor,3/1/2015,overall,112.3
Johor,4/1/2015,overall,113.6
Johor,5/1/2015,overall,114
Johor,6/1/2015,overall,114.9
Johor,7/1/2015,overall,115.9
Johor,8/1/2015,overall,116.3
Johor,9/1/2015,overall,115.9
Johor,10/1/2015,overall,116.5
Johor,11/1/2015,overall,117.5
Johor,12/1/2015,overall,117.6
Johor,1/1/2016,overall,117.4
Johor,2/1/2016,overall,117.2
Johor,3/1/2016,overall,116.5
Johor,4/1/2016,overall,117.1
Johor,5/1/2016,overall,117.4
Johor,6/1/2016,overall,117.6
Johor,7/1/2016,overall,118.1
Johor,8/1/2016,overall,118.5
Johor,9/1/2016,overall,118.2
Johor,10/1/2016,overall,118.5
Johor,11/1/2016,overall,119.7
Johor,12/1/2016,overall,119.7
Johor,1/1/2017,overall,121.4
Johor,2/1/2017,overall,123.2
Johor,3/1/2017,overall,123
Johor,4/1/2017,overall,122.8
Johor,5/1/2017,overall,122.3
Johor,6/1/2017,overall,122.2
Johor,7/1/2017,overall,122.1
Johor,8/1/2017,overall,123.3
Johor,9/1/2017,overall,123.7
Johor,10/1/2017,overall,123.5
Johor,11/1/2017,overall,124.3
Johor,12/1/2017,overall,124.5
Johor,1/1/2018,overall,124.9
Johor,2/1/2018,overall,125
Johor,3/1/2018,overall,124.4
Johor,4/1/2018,overall,124.4
Johor,5/1/2018,overall,124.7
Johor,6/1/2018,overall,123.1
Johor,7/1/2018,overall,123.3
Johor,8/1/2018,overall,123.6
Johor,9/1/2018,overall,124
Johor,10/1/2018,overall,124.3
Johor,11/1/2018,overall,124.7
Johor,12/1/2018,overall,124.6
Johor,1/1/2019,overall,124
Johor,2/1/2019,overall,124.3
Johor,3/1/2019,overall,124.6
Johor,4/1/2019,overall,124.7
Johor,5/1/2019,overall,125
Johor,6/1/2019,overall,125
Johor,7/1/2019,overall,125.2
Johor,8/1/2019,overall,125.3
Johor,9/1/2019,overall,125.5
Johor,10/1/2019,overall,125.7
Johor,11/1/2019,overall,125.7
Johor,12/1/2019,overall,126
Johor,1/1/2020,overall,126.2
Johor,2/1/2020,overall,126
Johor,3/1/2020,overall,124.3
Johor,4/1/2020,overall,120.5
Johor,5/1/2020,overall,120.8
Johor,6/1/2020,overall,122.3
Johor,7/1/2020,overall,123.1
Johor,8/1/2020,overall,123.2
Johor,9/1/2020,overall,123.1
Johor,10/1/2020,overall,123.1
Johor,11/1/2020,overall,123
Johor,12/1/2020,overall,123.5
Johor,1/1/2021,overall,125.2
Johor,2/1/2021,overall,125.7
Johor,3/1/2021,overall,126.2
Johor,4/1/2021,overall,126.4
Johor,5/1/2021,overall,126.3
Johor,6/1/2021,overall,126.5
Johor,7/1/2021,overall,125.7
Johor,8/1/2021,overall,125.7
Johor,9/1/2021,overall,126
Johor,10/1/2021,overall,126.9
Johor,11/1/2021,overall,127.3
Johor,12/1/2021,overall,127.7
Johor,1/1/2022,overall,128
Johor,2/1/2022,overall,128.1
Johor,3/1/2022,overall,128.7
Johor,4/1/2022,overall,129
Johor,5/1/2022,overall,130
Johor,6/1/2022,overall,131.2
Johor,7/1/2022,overall,131.6
Johor,8/1/2022,overall,131.8
Johor,9/1/2022,overall,131.9
Johor,10/1/2022,overall,131.9
Johor,11/1/2022,overall,132.6
Johor,12/1/2022,overall,132.7
Johor,1/1/2023,overall,132.9
Johor,2/1/2023,overall,133.4
Johor,3/1/2023,overall,133.4
Johor,4/1/2023,overall,133.3
Johor,5/1/2023,overall,133.5
Johor,6/1/2023,overall,133.7
Johor,7/1/2023,overall,133.8
Johor,8/1/2023,overall,134.1
Johor,9/1/2023,overall,134.2
Johor,10/1/2023,overall,134.2
Johor,11/1/2023,overall,134.3
Johor,12/1/2023,overall,134.6
Johor,1/1/2024,overall,134.9
Johor,2/1/2024,overall,135.4
Johor,3/1/2024,overall,135.4
Johor,4/1/2024,overall,135.4
Johor,5/1/2024,overall,136
Johor,6/1/2024,overall,136.4
Johor,7/1/2024,overall,136.4
Johor,8/1/2024,overall,136.5
Johor,9/1/2024,overall,136.6
Johor,10/1/2024,overall,136.8
Johor,11/1/2024,overall,136.8
Johor,12/1/2024,overall,137
Johor,1/1/2025,overall,137.4
Johor,2/1/2025,overall,138.3
Johor,3/1/2025,overall,138.2
Johor,4/1/2025,overall,138.4
Johor,5/1/2025,overall,138.4
Johor,6/1/2025,overall,138.5
Johor,7/1/2025,overall,138.9
Johor,8/1/2025,overall,139.2
Johor,9/1/2025,overall,139.4
Johor,10/1/2025,overall,139.4
Johor,11/1/2025,overall,139.4
Johor,12/1/2025,overall,140.1
Johor,1/1/2026,overall,140.3
Johor,2/1/2026,overall,140.6
Johor,3/1/2026,overall,140.9
Kedah,1/1/2010,overall,99.6
Kedah,2/1/2010,overall,99.5
Kedah,3/1/2010,overall,99.3
Kedah,4/1/2010,overall,99.3
Kedah,5/1/2010,overall,99.5
Kedah,6/1/2010,overall,99.7
Kedah,7/1/2010,overall,99.9
Kedah,8/1/2010,overall,100.2
Kedah,9/1/2010,overall,100.1
Kedah,10/1/2010,overall,100.6
Kedah,11/1/2010,overall,101
Kedah,12/1/2010,overall,101.3
Kedah,1/1/2011,overall,101.8
Kedah,2/1/2011,overall,102.3
Kedah,3/1/2011,overall,102.4
Kedah,4/1/2011,overall,102.6
Kedah,5/1/2011,overall,102.9
Kedah,6/1/2011,overall,103.1
Kedah,7/1/2011,overall,103.3
Kedah,8/1/2011,overall,103.4
Kedah,9/1/2011,overall,103.7
Kedah,10/1/2011,overall,104
Kedah,11/1/2011,overall,104.1
Kedah,12/1/2011,overall,104.2
Kedah,1/1/2012,overall,104.6
Kedah,2/1/2012,overall,104.5
Kedah,3/1/2012,overall,104.3
Kedah,4/1/2012,overall,104.4
Kedah,5/1/2012,overall,104.8
Kedah,6/1/2012,overall,105
Kedah,7/1/2012,overall,104.9
Kedah,8/1/2012,overall,105
Kedah,9/1/2012,overall,105.3
Kedah,10/1/2012,overall,105.7
Kedah,11/1/2012,overall,105.6
Kedah,12/1/2012,overall,105.6
Kedah,1/1/2013,overall,106.3
Kedah,2/1/2013,overall,106.3
Kedah,3/1/2013,overall,106.4
Kedah,4/1/2013,overall,106.5
Kedah,5/1/2013,overall,106.7
Kedah,6/1/2013,overall,106.8
Kedah,7/1/2013,overall,107.1
Kedah,8/1/2013,overall,107.2
Kedah,9/1/2013,overall,108.3
Kedah,10/1/2013,overall,108.7
Kedah,11/1/2013,overall,108.7
Kedah,12/1/2013,overall,109.1
Kedah,1/1/2014,overall,109.7
Kedah,2/1/2014,overall,110
Kedah,3/1/2014,overall,110.2
Kedah,4/1/2014,overall,110.1
Kedah,5/1/2014,overall,110
Kedah,6/1/2014,overall,110.1
Kedah,7/1/2014,overall,110.3
Kedah,8/1/2014,overall,110.4
Kedah,9/1/2014,overall,110.6
Kedah,10/1/2014,overall,111.4
Kedah,11/1/2014,overall,111.7
Kedah,12/1/2014,overall,111.6
Kedah,1/1/2015,overall,110.4
Kedah,2/1/2015,overall,109.6
Kedah,3/1/2015,overall,110.7
Kedah,4/1/2015,overall,111.5
Kedah,5/1/2015,overall,112.2
Kedah,6/1/2015,overall,112.8
Kedah,7/1/2015,overall,113.7
Kedah,8/1/2015,overall,113.5
Kedah,9/1/2015,overall,113.4
Kedah,10/1/2015,overall,113.9
Kedah,11/1/2015,overall,114.2
Kedah,12/1/2015,overall,114.1
Kedah,1/1/2016,overall,114
Kedah,2/1/2016,overall,113.6
Kedah,3/1/2016,overall,113
Kedah,4/1/2016,overall,113.5
Kedah,5/1/2016,overall,113.7
Kedah,6/1/2016,overall,114
Kedah,7/1/2016,overall,114.4
Kedah,8/1/2016,overall,114.8
Kedah,9/1/2016,overall,114.5
Kedah,10/1/2016,overall,114.9
Kedah,11/1/2016,overall,115.8
Kedah,12/1/2016,overall,116
Kedah,1/1/2017,overall,117.6
Kedah,2/1/2017,overall,119.1
Kedah,3/1/2017,overall,119
Kedah,4/1/2017,overall,118.6
Kedah,5/1/2017,overall,118.3
Kedah,6/1/2017,overall,118.1
Kedah,7/1/2017,overall,118
Kedah,8/1/2017,overall,119.1
Kedah,9/1/2017,overall,119.5
Kedah,10/1/2017,overall,119.2
Kedah,11/1/2017,overall,119.9
Kedah,12/1/2017,overall,120
Kedah,1/1/2018,overall,114.3
Kedah,2/1/2018,overall,114.5
Kedah,3/1/2018,overall,113.9
Kedah,4/1/2018,overall,119.8
Kedah,5/1/2018,overall,119.8
Kedah,6/1/2018,overall,118.5
Kedah,7/1/2018,overall,118.5
Kedah,8/1/2018,overall,118.7
Kedah,9/1/2018,overall,118.9
Kedah,10/1/2018,overall,119.1
Kedah,11/1/2018,overall,119.1
Kedah,12/1/2018,overall,119.3
Kedah,1/1/2019,overall,118.5
Kedah,2/1/2019,overall,118.8
Kedah,3/1/2019,overall,119.2
Kedah,4/1/2019,overall,119.1
Kedah,5/1/2019,overall,119.4
Kedah,6/1/2019,overall,119.4
Kedah,7/1/2019,overall,119.5
Kedah,8/1/2019,overall,119.8
Kedah,9/1/2019,overall,119.8
Kedah,10/1/2019,overall,120
Kedah,11/1/2019,overall,120
Kedah,12/1/2019,overall,120.2
Kedah,1/1/2020,overall,120.2
Kedah,2/1/2020,overall,120.1
Kedah,3/1/2020,overall,118.5
Kedah,4/1/2020,overall,114.6
Kedah,5/1/2020,overall,115
Kedah,6/1/2020,overall,116.4
Kedah,7/1/2020,overall,117.2
Kedah,8/1/2020,overall,117.3
Kedah,9/1/2020,overall,117.3
Kedah,10/1/2020,overall,117.2
Kedah,11/1/2020,overall,116.9
Kedah,12/1/2020,overall,117.6
Kedah,1/1/2021,overall,119.3
Kedah,2/1/2021,overall,119.8
Kedah,3/1/2021,overall,120.3
Kedah,4/1/2021,overall,120.5
Kedah,5/1/2021,overall,120.5
Kedah,6/1/2021,overall,120.5
Kedah,7/1/2021,overall,119.7
Kedah,8/1/2021,overall,119.8
Kedah,9/1/2021,overall,119.9
Kedah,10/1/2021,overall,120.9
Kedah,11/1/2021,overall,121.2
Kedah,12/1/2021,overall,121.9
Kedah,1/1/2022,overall,122.1
Kedah,2/1/2022,overall,122.4
Kedah,3/1/2022,overall,122.6
Kedah,4/1/2022,overall,122.8
Kedah,5/1/2022,overall,123.1
Kedah,6/1/2022,overall,123.6
Kedah,7/1/2022,overall,123.9
Kedah,8/1/2022,overall,123.9
Kedah,9/1/2022,overall,124
Kedah,10/1/2022,overall,124.2
Kedah,11/1/2022,overall,124.5
Kedah,12/1/2022,overall,124.6
Kedah,1/1/2023,overall,124.8
Kedah,2/1/2023,overall,125.2
