state,date,crop_type,planted_area,production
Malaysia,01/01/2017,cash_crops,20763.1,217847.5
Malaysia,01/01/2018,cash_crops,19028.2,215087.6
Malaysia,01/01/2019,cash_crops,17082,221310.2
Malaysia,01/01/2020,cash_crops,19090.9,223506.8
Malaysia,01/01/2021,cash_crops,20070.3,239011.9
Malaysia,01/01/2022,cash_crops,18329.1,215632.4
Malaysia,01/01/2017,coconut,83250.1,517588.5
Malaysia,01/01/2018,coconut,83436.4,491465.4
Malaysia,01/01/2019,coconut,86466.3,536605.7
Malaysia,01/01/2020,coconut,84942,560984.3
Malaysia,01/01/2021,coconut,81469.6,557353.7
Malaysia,01/01/2022,coconut,84935.9,604428.4
Malaysia,01/01/2017,flower,2605.1,509085932
Malaysia,01/01/2018,flower,2652,518249478
Malaysia,01/01/2019,flower,2702.3,528096218
Malaysia,01/01/2020,flower,2626.7,402409318
Malaysia,01/01/2021,flower,2554.4,348326666
Malaysia,01/01/2022,flower,2588.4,355423782.2
Malaysia,01/01/2017,fruits,208590.1,1492600.9
Malaysia,01/01/2018,fruits,195480.6,1543086
Malaysia,01/01/2019,fruits,184549.5,1560906
Malaysia,01/01/2020,fruits,191865.9,1549790.6
Malaysia,01/01/2021,fruits,199419.8,1686875.5
Malaysia,01/01/2022,fruits,203431.3,1827992.3
Malaysia,01/01/2017,herbs,2424.2,11741.9
Malaysia,01/01/2018,herbs,3010.5,12389.4
Malaysia,01/01/2019,herbs,2315.7,9018.6
Malaysia,01/01/2020,herbs,2079.6,9077.1
Malaysia,01/01/2021,herbs,2017.7,9339.8
Malaysia,01/01/2022,herbs,2108,9951.2
Malaysia,01/01/2017,industrial_crops,133928.5,758335
Malaysia,01/01/2018,industrial_crops,132761.2,589940.1
Malaysia,01/01/2019,industrial_crops,138490,755630
Malaysia,01/01/2020,industrial_crops,159486,716977.6
Malaysia,01/01/2021,industrial_crops,156385,713949.5
Malaysia,01/01/2022,industrial_crops,127771.6,741168.3
Malaysia,01/01/2017,paddy,685548,2570513
Malaysia,01/01/2018,paddy,699980,2639202
Malaysia,01/01/2019,paddy,672084,2352870
Malaysia,01/01/2020,paddy,644908.2,2356391.9
Malaysia,01/01/2021,paddy,647936,2441597
Malaysia,01/01/2022,paddy,637935,2281739
Malaysia,01/01/2017,spices,7467.3,60457.8
Malaysia,01/01/2018,spices,6552.6,55195.1
Malaysia,01/01/2019,spices,5815.6,51336.7
Malaysia,01/01/2020,spices,5958.6,52541.3
Malaysia,01/01/2021,spices,5978.1,54037.9
Malaysia,01/01/2022,spices,5913.8,53727.4
Malaysia,01/01/2017,vegetables,62538.5,1003536.5
Malaysia,01/01/2018,vegetables,58817.7,997745.4
Malaysia,01/01/2019,vegetables,62025.9,1020713.7
Malaysia,01/01/2020,vegetables,61613.6,1030064.1
Malaysia,01/01/2021,vegetables,65911,1088038.6
Malaysia,01/01/2022,vegetables,68111.6,1163793.3
Johor,01/01/2017,cash_crops,3780.3,42424.1
Johor,01/01/2018,cash_crops,3483.7,43420.4
Johor,01/01/2019,cash_crops,3007.5,38566.7
Johor,01/01/2020,cash_crops,3056.2,42963
Johor,01/01/2021,cash_crops,3522.4,47538.7
Johor,01/01/2022,cash_crops,3397.3,46960
Johor,01/01/2017,coconut,14931.6,107731
Johor,01/01/2018,coconut,12949.7,95495.7
Johor,01/01/2019,coconut,10762.9,99375.1
Johor,01/01/2020,coconut,11887,106723.2
Johor,01/01/2021,coconut,12380.5,118278.2
Johor,01/01/2022,coconut,13269.8,124062.2
Johor,01/01/2017,flower,1455.2,245074825
Johor,01/01/2018,flower,1481.4,249486172
Johor,01/01/2019,flower,1509.6,254226409
Johor,01/01/2020,flower,1467.3,193720524
Johor,01/01/2021,flower,1442.4,164836794
Johor,01/01/2022,flower,1461.1,168133530
Johor,01/01/2017,fruits,59264.8,603693
Johor,01/01/2018,fruits,46698.3,567300.8
Johor,01/01/2019,fruits,41504.2,543387.3
Johor,01/01/2020,fruits,44779,557842.7
Johor,01/01/2021,fruits,50231.6,631711.1
Johor,01/01/2022,fruits,50217,772317.4
Johor,01/01/2017,herbs,394.8,2316.5
Johor,01/01/2018,herbs,453.4,3060.2
Johor,01/01/2019,herbs,189.7,1936.3
Johor,01/01/2020,herbs,179,2586.1
Johor,01/01/2021,herbs,266.8,2642.8
Johor,01/01/2022,herbs,256.2,2722.4
Johor,01/01/2017,industrial_crops,16161,117769.7
Johor,01/01/2018,industrial_crops,13625.3,98700
Johor,01/01/2019,industrial_crops,11369.7,102455
Johor,01/01/2020,industrial_crops,12463.1,110575.5
Johor,01/01/2021,industrial_crops,12975.7,123560.5
Johor,01/01/2022,industrial_crops,13820.5,128173.1
Johor,01/01/2017,paddy,3000,8563
Johor,01/01/2018,paddy,2866,9424
Johor,01/01/2019,paddy,2555,7704
Johor,01/01/2020,paddy,2547,7502
Johor,01/01/2021,paddy,2505,9031
Johor,01/01/2022,paddy,2776,10832
Johor,01/01/2017,spices,1507.6,14532.3
Johor,01/01/2018,spices,999,11548.8
Johor,01/01/2019,spices,962,13679.7
Johor,01/01/2020,spices,1211.6,15368.5
Johor,01/01/2021,spices,1645.5,18401.5
Johor,01/01/2022,spices,1568,17925.1
Johor,01/01/2017,vegetables,16117.2,203846
Johor,01/01/2018,vegetables,14502.9,198459.8
Johor,01/01/2019,vegetables,15359.3,203996.5
Johor,01/01/2020,vegetables,14843.7,208260.3
Johor,01/01/2021,vegetables,17186.9,242213.7
Johor,01/01/2022,vegetables,17188.3,245330.4
Kedah,01/01/2017,cash_crops,760.4,5439.2
Kedah,01/01/2018,cash_crops,662.3,5429.3
Kedah,01/01/2019,cash_crops,611.8,5341
Kedah,01/01/2020,cash_crops,579.5,3318.3
Kedah,01/01/2021,cash_crops,517.1,4093.7
Kedah,01/01/2022,cash_crops,496.2,4462.4
Kedah,01/01/2017,coconut,1289.4,5754.5
Kedah,01/01/2018,coconut,897,6558.9
Kedah,01/01/2019,coconut,995.7,5131.3
Kedah,01/01/2020,coconut,2155.1,10046.3
Kedah,01/01/2021,coconut,1854.4,10185.3
Kedah,01/01/2022,coconut,1773.7,31787.5
Kedah,01/01/2017,flower,33.9,746350
Kedah,01/01/2018,flower,34.5,759785
Kedah,01/01/2019,flower,35.2,774221
Kedah,01/01/2020,flower,34.2,589956
Kedah,01/01/2021,flower,40.9,724037
Kedah,01/01/2022,flower,40.5,718245
Kedah,01/01/2017,fruits,10687,49420.8
Kedah,01/01/2018,fruits,11972.4,69874
Kedah,01/01/2019,fruits,11242,71440.5
Kedah,01/01/2020,fruits,11175.4,61839.5
Kedah,01/01/2021,fruits,9733.8,73092.9
Kedah,01/01/2022,fruits,9762.2,96009.6
Kedah,01/01/2017,herbs,169.8,563
Kedah,01/01/2018,herbs,175,532.6
Kedah,01/01/2019,herbs,174.9,442.7
Kedah,01/01/2020,herbs,196.4,367.2
Kedah,01/01/2021,herbs,103.5,319.7
Kedah,01/01/2022,herbs,176.5,282.7
Kedah,01/01/2017,industrial_crops,2378.1,8081.6
Kedah,01/01/2018,industrial_crops,1178.6,8929.7
Kedah,01/01/2019,industrial_crops,1248.4,8448.9
Kedah,01/01/2020,industrial_crops,2440.4,12265.2
Kedah,01/01/2021,industrial_crops,2119.7,12885.6
Kedah,01/01/2022,industrial_crops,2051.5,35503.6
Kedah,01/01/2017,paddy,214585,939308
Kedah,01/01/2018,paddy,214592,955662
Kedah,01/01/2019,paddy,214252,859018
Kedah,01/01/2020,paddy,214328,914200
