date,adm_level,adm_id,state,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
01/01/2022,1,1891,Johor,622,144.50322,100.24657,423.4502,337.89624,912.4791,888.2762,142.05045,124.95039,102.70946,final
11/01/2022,1,1891,Johor,622,14.067524,82.84357,250.43248,312.61478,869.9004,905.41187,21.706226,80.422104,96.0994,final
21/01/2022,1,1891,Johor,622,9.773312,93.333336,168.34406,276.42346,797.50165,910.567,15.023706,61.59545,87.65078,final
01/02/2022,1,1891,Johor,622,145.69453,47.915485,169.53537,224.09239,857.42285,867.04315,284.78345,76.18558,98.896805,final
11/02/2022,1,1891,Johor,622,76.32797,37.718487,231.79582,178.96732,858.8168,810.7472,190.38121,128.71625,105.89271,final
21/02/2022,1,1891,Johor,622,108.45499,31.283012,330.47748,116.916985,881.1238,752.45807,312.6945,275.16876,116.98651,final
01/03/2022,1,1891,Johor,622,71.79582,53.97701,256.5788,122.97851,849.5644,684.9671,130.21315,204.39275,123.85582,final
11/03/2022,1,1891,Johor,622,47.559486,54.053535,227.8103,139.31355,710.03864,630.8956,89.00311,161.32254,112.445915,final
21/03/2022,1,1891,Johor,622,83.74277,71.5336,203.09808,179.56415,701.9197,572.9046,115.9527,112.75109,122.32463,final
01/04/2022,1,1891,Johor,622,87.131836,63.43151,218.43408,189.01865,644.5482,536.08954,134.63365,115.16113,120.044495,final
11/04/2022,1,1891,Johor,622,133.5627,63.119667,304.43732,198.08478,764.0434,516.36566,203.41072,152.36855,147.50557,final
21/04/2022,1,1891,Johor,622,67.21543,74.879364,287.90997,201.43054,821.48553,497.91168,90.40562,141.89276,164.34009,final
01/05/2022,1,1891,Johor,622,67.77492,65.522934,268.55304,203.52197,743.5659,515.5191,103.19326,131.18668,143.81142,final
11/05/2022,1,1891,Johor,622,53.356915,60.239174,188.34727,200.64148,720.5949,538.0398,89.45072,94.02154,133.61726,final
21/05/2022,1,1891,Johor,622,44.107716,64.674065,165.23955,190.43617,656.2476,571.43085,70.482056,87.10749,114.714134,final
01/06/2022,1,1891,Johor,622,83.840836,56.38703,181.30547,181.30026,668.2926,573.8409,144.72249,100.00279,116.31739,final
11/06/2022,1,1891,Johor,622,75.67685,46.796677,203.6254,167.85777,696.4099,566.58405,155.7568,120.69194,122.71335,final
21/06/2022,1,1891,Johor,622,58.67524,45.842712,218.19293,149.02643,671.34247,540.8931,125.239655,144.90561,123.8965,final
01/07/2022,1,1891,Johor,622,23.00804,60.187515,157.36012,152.8269,607.2187,537.6492,42.965343,102.87228,112.82035,final
11/07/2022,1,1891,Johor,622,55.750805,50.75343,137.43408,156.78366,529.40674,525.2829,108.96335,88.03985,100.77767,final
21/07/2022,1,1891,Johor,622,72.93247,56.407825,151.69131,167.34877,535.1238,506.81137,126.909676,90.91525,105.5318,final
01/08/2022,1,1891,Johor,622,66.71704,55.511578,195.40031,162.67284,534.06586,496.8,118.51789,119.51865,107.42644,final
11/08/2022,1,1891,Johor,622,41.736336,56.71688,181.38583,168.63628,522.4453,493.2777,75.72699,107.34268,105.85369,final
21/08/2022,1,1891,Johor,622,96.157555,68.89212,204.61093,181.12057,574.4952,497.4958,136.89897,112.62105,115.32339,final
01/09/2022,1,1891,Johor,622,59.033764,56.71104,196.92766,182.32004,549.6881,497.8198,103.76388,107.79822,110.31549,final
11/09/2022,1,1891,Johor,622,61.77331,52.188477,216.96463,177.79164,535.78455,503.21158,116.760086,121.43041,106.40933,final
21/09/2022,1,1891,Johor,622,42.9791,53.450428,163.78618,162.34995,520.08844,510.8193,82.08511,100.85822,101.796974,final
01/10/2022,1,1891,Johor,622,127.728294,60.716667,232.48071,166.35558,624.80865,511.34845,201.97054,138.58943,121.97357,final
11/10/2022,1,1891,Johor,622,93.64469,66.89453,264.35208,181.06163,662.7026,527.48956,137.2075,144.76498,125.39262,final
21/10/2022,1,1891,Johor,622,195.9791,87.83543,417.35208,215.44662,785.74915,558.9172,216.48965,191.58928,140.22433,final
01/11/2022,1,1891,Johor,622,121.480705,90.76233,411.1045,245.49228,840.5128,594.1679,132.07773,166.1147,141.1145,final
11/11/2022,1,1891,Johor,622,125.5611,90.405304,443.0209,269.00305,924.3376,627.8563,136.84889,163.50945,146.84811,final
21/11/2022,1,1891,Johor,622,95.377815,88.1082,342.41962,269.27582,923.55786,647.0724,107.80771,126.66798,142.40105,final
01/12/2022,1,1891,Johor,622,108.946945,121.56238,329.88586,300.0759,973.47107,711.92377,90.03224,109.771324,136.48189,final
11/12/2022,1,1891,Johor,622,172.55305,110.76683,376.8778,320.4374,1084.2509,770.5021,153.37126,117.34293,140.4575,final
